Points,Time (seconds)
1,8e-06
10,0.000126
100,0.000997666666667
1000,0.00950233333333
10000,0.105212333333
100000,1.00404333333
200000,1.91267666667
400000,3.73192266667
600000,6.35288066667
800000,8.11884366667
1000000,10.1648473333
9000000,88.3687493333
10000000,94.994677
